from,to,relationship,time
TH,VV,1,2019
TH,PV,1,2017
TH,NV,3,2017
SH,VV,1,2015
SH,RW,3,2006
SH,NP,3,2009
SH,SA,3,2011
SH,SM,3,2011
SH,SB,3,2011
SH,WF,1,2011
JR,VV,1,2015
JR,SM,3,2006
OS,VV,1,2015
OS,KC,1,NA
CV,AV,4,2019
CV,PF,2,2017
WP,AV,4,2014
WP,DA,1,2009
RA,AV,4,2020
BG,AV,1,2017
BG,PV,1,2017
HJ,AV,4,2014
HJ,AK,1,1991
HJ,AF,1,2001
HO,AV,4,2016
FR,AV,4,2016
FR,DA,1,2019
BS,AV,4,2017
BS,RB,1,1996
BS,FG,2,2007
SH,VD,2,NA
